id,sport_id,event_name
210,43,Rhythmic Gymnastics Women's Group
211,14,"Art Competitions Mixed Architecture, Designs For Town Planning"
212,14,"Art Competitions Mixed Architecture, Architectural Designs"
213,13,Gymnastics Women's Individual All-Around
214,13,Gymnastics Women's Team All-Around
215,13,Gymnastics Women's Floor Exercise
216,13,Gymnastics Women's Horse Vault
217,13,Gymnastics Women's Uneven Bars
218,13,Gymnastics Women's Balance Beam
219,30,Diving Women's Springboard
220,30,Diving Women's Synchronized Springboard
221,7,"Athletics Women's 10,000 metres"
222,11,Sailing Mixed 7 metres
223,2,Judo Women's Half-Middleweight
224,7,Athletics Men's Decathlon
225,12,Biathlon Men's 10 kilometres Sprint
226,12,Biathlon Men's 20 kilometres
227,12,Biathlon Men's 4 x 7.5 kilometres Relay
228,44,Freestyle Skiing Men's Moguls
229,18,"Wrestling Men's Middleweight A, Greco-Roman"
230,7,Athletics Women's Discus Throw
231,9,Swimming Women's 4 x 100 metres Freestyle Relay
232,7,"Athletics Women's 1,500 metres"
233,26,"Shooting Women's Air Pistol, 10 metres"
234,26,"Shooting Women's Sporting Pistol, 25 metres"
235,31,"Canoeing Men's Kayak Doubles, 500 metres"
236,31,"Canoeing Men's Kayak Singles, 500 metres"
237,31,"Canoeing Men's Kayak Singles, 1,000 metres"
238,26,"Shooting Men's Running Target, 50 metres"
239,2,Judo Women's Half-Heavyweight
240,7,Athletics Women's Pole Vault
241,45,Rugby Sevens Women's Rugby Sevens
242,40,Table Tennis Men's Team
243,34,Figure Skating Mixed Pairs
244,44,Freestyle Skiing Men's Aerials
245,22,Rowing Women's Coxed Eights
246,7,Athletics Women's 4 x 400 metres Relay
247,15,Alpine Skiing Women's Giant Slalom
248,15,Alpine Skiing Women's Super G
249,6,Cross Country Skiing Women's 5 kilometres
250,6,Cross Country Skiing Women's 10 kilometres
251,6,Cross Country Skiing Women's 20 kilometres
252,29,"Cycling Men's 1,000 metres Time Trial"
253,29,"Cycling Men's Individual Pursuit, 4,000 metres"
254,18,"Wrestling Men's Welterweight, Freestyle"
255,18,"Wrestling Men's Bantamweight, Greco-Roman"
256,22,Rowing Women's Lightweight Double Sculls
257,7,Athletics Women's 800 metres
258,22,Rowing Women's Coxed Quadruple Sculls
259,12,Biathlon Men's 12.5 kilometres Pursuit
260,12,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay
261,43,Rhythmic Gymnastics Women's Individual
262,31,"Canoeing Men's Kayak Singles, Slalom"
263,37,Archery Men's Individual
264,37,Archery Men's Team
265,5,"Speed Skating Women's 1,500 metres"
266,5,Speed Skating Women's Team Pursuit (6 laps)
267,6,Cross Country Skiing Men's Sprint
268,7,Athletics Women's 400 metres
269,34,Figure Skating Women's Singles
270,5,"Speed Skating Men's 1,000 metres"
271,46,Trampolining Men's Individual
272,47,Beach Volleyball Men's Beach Volleyball
273,29,"Cycling Women's Mountainbike, Cross-Country"
274,7,"Athletics Men's Javelin Throw, Both Hands"
275,48,Triathlon Women's Olympic Distance
276,13,Gymnastics Women's Team Portable Apparatus
277,29,"Cycling Men's Mountainbike, Cross-Country"
278,7,Athletics Women's 400 metres Hurdles
279,30,Diving Men's Springboard
280,18,"Wrestling Men's Featherweight, Greco-Roman"
281,40,Table Tennis Men's Singles
282,14,Art Competitions Mixed Painting
283,6,Cross Country Skiing Women's 3 x 5 kilometres Relay
284,2,Judo Men's Open Class
285,22,Rowing Women's Quadruple Sculls
286,13,"Gymnastics Men's Team All-Around, Swedish System"
287,41,Nordic Combined Men's Sprint
288,7,Athletics Women's Pentathlon
289,14,"Art Competitions Mixed Painting, Unknown Event"
290,29,"Cycling Men's Team Pursuit, 4,000 metres"
291,17,Weightlifting Women's Middleweight
292,9,"Swimming Men's 1,500 metres Freestyle"
293,18,"Wrestling Women's Light-Heavyweight, Freestyle"
294,9,Swimming Women's 100 metres Freestyle
295,25,"Equestrianism Men's Jumping, Individual"
296,25,"Equestrianism Men's Jumping, Team"
297,25,"Equestrianism Men's Three-Day Event, Individual"
298,25,"Equestrianism Men's Three-Day Event, Team"
299,15,Alpine Skiing Women's Combined
300,7,Athletics Women's High Jump
301,49,"Ski Jumping Men's Normal Hill, Individual"
302,31,"Canoeing Women's Kayak Fours, 500 metres"
303,8,Ice Hockey Women's Ice Hockey
304,11,Sailing Men's One Person Dinghy
305,46,Trampolining Women's Individual
306,50,Curling Men's Curling
307,14,Art Competitions Mixed Literature
308,2,Judo Men's Middleweight
309,12,Biathlon Women's 15 kilometres
310,12,Biathlon Women's 3 x 7.5 kilometres Relay
311,12,Biathlon Women's 4 x 7.5 kilometres Relay
312,2,Judo Men's Half-Lightweight
313,24,"Fencing Women's Foil, Team"
314,9,Swimming Women's 200 metres Butterfly
315,9,Swimming Women's 400 metres Individual Medley
316,35,Golf Men's Individual
317,7,Athletics Men's Standing High Jump
318,7,Athletics Men's Standing Long Jump
319,7,Athletics Men's 20 kilometres Walk
320,9,Swimming Men's 220 yard Freestyle
321,9,Swimming Men's 880 yard Freestyle
322,9,Swimming Men's One Mile Freestyle
323,9,Swimming Men's 4 x 50 Yard Freestyle Relay
324,9,Swimming Men's Plunge For Distance
325,26,"Shooting Men's Free Rifle, Three Positions, 300 metres"
326,26,"Shooting Men's Military Rifle, Three Positions, 300 metres"
327,26,"Shooting Men's Military Rifle, Any Position, 600 metres"
328,26,"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team"
329,26,"Shooting Men's Military Rifle, Prone, 300 metres"
330,2,Judo Men's Half-Heavyweight
331,37,Archery Women's Team
332,7,Athletics Men's 50 kilometres Walk
333,22,Rowing Women's Double Sculls
334,11,Sailing Mixed 6 metres
335,27,Boxing Men's Light-Heavyweight
336,27,Boxing Women's Flyweight
337,7,Athletics Women's 100 metres Hurdles
338,7,"Athletics Men's Discus Throw, Greek Style"
339,50,Curling Women's Curling
340,11,Sailing Mixed One Person Dinghy
341,18,"Wrestling Women's Heavyweight, Freestyle"
342,10,Badminton Mixed Doubles
343,24,"Fencing Women's Foil, Individual"
344,11,Sailing Mixed Two Person Keelboat
345,26,"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team"
346,40,Table Tennis Men's Doubles
347,18,"Wrestling Men's Light-Flyweight, Freestyle"
348,18,"Wrestling Women's Featherweight, Freestyle"
349,9,Swimming Women's 200 metres Freestyle
350,9,Swimming Women's 400 metres Freestyle
351,9,Swimming Women's 200 metres Individual Medley
352,11,Sailing Men's Windsurfer
353,44,Freestyle Skiing Men's Slopestyle
354,26,"Shooting Men's Running Target, Single Shot"
355,26,"Shooting Men's Running Target, Double Shot"
356,45,Rugby Sevens Men's Rugby Sevens
357,18,"Wrestling Women's Lightweight, Freestyle"
358,33,Modern Pentathlon Women's Individual
359,31,"Canoeing Men's Canadian Doubles, Slalom"
360,2,Judo Women's Half-Lightweight
361,30,Diving Women's Plain High
362,25,"Equestrianism Men's Dressage, Individual"
363,25,"Equestrianism Men's Dressage, Team"
364,32,"Tennis Women's Singles, Covered Courts"
365,30,Diving Men's Plain High
366,26,"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres"
367,26,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres"
368,9,Swimming Women's 800 metres Freestyle
369,11,Sailing Women's Two Person Dinghy
370,15,Alpine Skiing Women's Downhill
371,26,"Shooting Men's Free Pistol, 50 metres, Team"
372,26,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team"
373,26,"Shooting Men's Military Rifle, Prone, 300 metres, Team"
374,26,"Shooting Men's Military Rifle, Prone, 600 metres, Team"
375,26,"Shooting Men's Military Rifle, Standing, 300 metres, Team"
376,26,"Shooting Men's Free Rifle, Prone, 600 metres"
377,26,"Shooting Men's Free Rifle, 400, 600 and 800 metres, Team"
378,22,Rowing Men's Single Sculls
379,29,"Cycling Men's Tandem Sprint, 2,000 metres"
380,44,Freestyle Skiing Women's Halfpipe
381,7,Athletics Women's Heptathlon
382,29,Cycling Men's Points Race
383,39,Synchronized Swimming Women's Solo
384,25,"Equestrianism Mixed Dressage, Individual"
385,25,"Equestrianism Mixed Dressage, Team"
386,6,Cross Country Skiing Men's 18 kilometres
387,9,Swimming Men's 100 metres Breaststroke
388,34,Figure Skating Mixed Ice Dancing
389,26,"Shooting Mixed Free Pistol, 50 metres"
390,11,Sailing Women's Skiff
391,31,"Canoeing Men's Kayak Doubles, 10,000 metres"
392,48,Triathlon Men's Olympic Distance
393,11,Sailing Women's One Person Dinghy
394,6,Cross Country Skiing Women's 30 kilometres
395,6,Cross Country Skiing Women's 15 km Skiathlon
396,22,Rowing Men's 17-Man Naval Rowing Boats
397,47,Beach Volleyball Women's Beach Volleyball
398,17,Weightlifting Men's Super-Heavyweight
399,22,Rowing Men's Lightweight Coxless Fours
400,18,"Wrestling Men's Light-Flyweight, Greco-Roman"
401,31,"Canoeing Men's Canadian Singles, 1,000 metres"
402,11,Sailing Mixed 5.5 metres
403,25,"Equestrianism Mixed Jumping, Team"
404,30,Diving Men's Synchronized Platform
405,51,Snowboarding Men's Halfpipe
406,31,"Canoeing Women's Kayak Singles, Slalom"
407,17,Weightlifting Women's Flyweight
408,9,Swimming Women's 100 metres Breaststroke
409,9,Swimming Women's 200 metres Breaststroke
410,18,"Wrestling Men's Middleweight B, Greco-Roman"
411,7,Athletics Men's Stone Throw
